batsman,total_matches,total_runs,total_balls,total_fours,total_sixes,total_outs,total_30_plus,avg_runs,avg_strike_rate,boundary_freq,consistency_30_plus,dismissal_rate,position_preference,position_label
MJ Santner,9,38,52,4,0,5,0,4.222222222222222,73.07692307692307,0.07692307692307693,0.0,0.5555555555555556,2,Opener
MJ Suthar,1,1,2,0,0,1,0,1.0,50.0,0.0,0.0,1.0,9,Finisher
MK Lomror,32,499,365,30,30,27,7,15.59375,136.7123287671233,0.1643835616438356,0.21875,0.84375,3,Anchor
MK Pandey,39,1007,862,82,35,35,15,25.82051282051282,116.8213457076566,0.1357308584686775,0.38461538461538464,0.8974358974358975,2,Opener
MM Ali,43,865,666,75,44,39,11,20.11627906976744,129.87987987987987,0.17867867867867868,0.2558139534883721,0.9069767441860465,2,Opener
MM Sharma,3,2,17,0,0,2,0,0.6666666666666666,11.76470588235294,0.0,0.0,0.6666666666666666,9,Finisher
MP Stoinis,63,1393,993,116,73,50,15,22.11111111111111,140.281973816717,0.1903323262839879,0.23809523809523808,0.7936507936507936,2,Opener
MR Marsh,22,440,331,39,24,20,4,20.0,132.93051359516616,0.1903323262839879,0.18181818181818182,0.9090909090909091,2,Opener
MS Dhoni,58,811,629,66,43,29,5,13.982758620689655,128.93481717011127,0.17329093799682035,0.08620689655172414,0.5,8,Finisher
MS Wade,11,161,152,23,2,10,2,14.636363636363637,105.92105263157893,0.16447368421052633,0.18181818181818182,0.9090909090909091,2,Opener
MW Short,6,117,99,15,4,6,2,19.5,118.18181818181819,0.1919191919191919,0.3333333333333333,1.0,3,Anchor
Mandeep Singh,14,177,165,16,5,13,1,12.642857142857142,107.27272727272728,0.12727272727272726,0.07142857142857142,0.9285714285714286,2,Opener
Mayank Dagar,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9,Finisher
Mohammad Nabi,9,80,61,7,4,7,0,8.88888888888889,131.14754098360655,0.18032786885245902,0.0,0.7777777777777778,6,Finisher
Mohammed Shami,7,20,28,1,0,4,0,2.857142857142857,71.42857142857143,0.03571428571428571,0.0,0.5714285714285714,11,Finisher
Mohammed Siraj,14,80,84,8,3,6,0,5.714285714285714,95.23809523809523,0.13095238095238096,0.0,0.42857142857142855,11,Finisher
Mohit Rathee,1,1,2,0,0,0,0,1.0,50.0,0.0,0.0,0.0,11,Finisher
Mohsin Khan,5,25,27,2,1,2,0,5.0,92.5925925925926,0.1111111111111111,0.0,0.4,9,Finisher
Mujeeb Ur Rahman,2,2,4,0,0,1,0,1.0,50.0,0.0,0.0,0.5,7,Finisher
Mukesh Choudhary,2,6,6,1,0,0,0,3.0,100.0,0.16666666666666666,0.0,0.0,11,Finisher
Mukesh Kumar,5,10,20,0,0,1,0,2.0,50.0,0.0,0.0,0.2,10,Finisher
Mustafizur Rahman,5,12,20,0,1,0,0,2.4,60.0,0.05,0.0,0.0,11,Finisher
N Jagadeesan,10,162,155,21,2,9,3,16.2,104.51612903225806,0.14838709677419354,0.3,0.9,3,Anchor
N Pooran,66,1601,1033,103,113,47,27,24.257575757575758,154.98547918683445,0.2090997095837367,0.4090909090909091,0.7121212121212122,7,Finisher
N Rana,60,1551,1182,150,72,54,21,25.85,131.21827411167513,0.18781725888324874,0.35,0.9,6,Finisher
N Wadhera,16,350,261,32,18,15,5,21.875,134.09961685823754,0.19157088122605365,0.3125,0.9375,4,Middle-order
NA Saini,4,29,32,3,0,2,0,7.25,90.625,0.09375,0.0,0.5,8,Finisher
NM Coulter-Nile,5,30,22,4,0,3,0,6.0,136.36363636363635,0.18181818181818182,0.0,0.6,8,Finisher
NS Naik,1,1,3,0,0,1,0,1.0,33.33333333333333,0.0,0.0,1.0,7,Finisher
NT Ellis,5,19,26,0,1,4,0,3.8,73.07692307692307,0.038461538461538464,0.0,0.8,8,Finisher
